id,mass,sv_length,ht_length
1,3.19,3.5,6.3
2,3.19,3.8,7.6
3,1.99,3.5,6.5
4,1.79,3.1,6
5,2.36,4.1,6.5
6,2.53,3.7,6.5
7,2.58,3.8,7.1
8,1.97,3.5,6
9,2.19,3.4,6.4
10,2.67,4,7.2
11,2.11,3.3,6.2
13,2.34,3.6,6.5
14,2.53,3.5,6.5
15,2.72,3.7,6.7
16,1.99,3.5,6.4
17,2.64,3.7,7
18,2.8,4,7
19,2.37,3.5,6.9
20,2.47,3.7,6.7
21,2.47,3.5,6.7
22,2.26,3.6,6.5
23,1.97,3.3,6
24,2.18,3.5,6.3
25,2.54,3.5,6.6
26,2.49,3.9,7.1
27,2.24,3.6,6.6
28,2.13,3.3,6.2
29,2.48,3.5,6.7
30,2.05,3.5,6.5
31,2.69,3.6,6.7
32,2.03,3.2,5.9
33,1.94,3.1,5.9